run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,ID,rt,stimulus,response,trial_category,start,slider_start,stimulus_name,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
12,1,"""","""","""","""","""",html-keyboard-response,20,620995,0.0-20.0,semep0hq8,47121,"<div style=""font-size:20px;"">This task is now over. The completion code is: semep0hq8 Press space after you have the completion code to finish. Thank you for your participation! </div>", ,"""","""","""","""",2022-01-26 04:22:23,73.80.90.55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,true,false,[],[],[],preload,0,535,0.0-0.0,rhhm6gcs8,"""","""","""","""","""","""","""",2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",html-keyboard-response,1,3017,0.0-1.0,rhhm6gcs8,2479,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 15 minutes to complete. Please complete it in one sitting.</p>", ,"""","""","""","""",2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",html-keyboard-response,2,6990,0.0-2.0,rhhm6gcs8,3971,"<p style = ""font-size:16px;"">MIT Computational Cognitive Science Lab</p><h4>Press the 'y' key to consent.</h4><div style = ""background-color:#f2f2f2;""><h3>Informed Consent Form</h3><div style=""text-align:left;width:700px;""><p style = ""font-size:16px;"">In this HIT, you will be asked to read a set of instructions that describe a particular scenario, and you will then be asked to perform a simple task relating to that scenario. There will also be comprehension and attention checks. Participants who do not answer these checks correctly cannot be approved. In order to get credit for this HIT, you must read all the questions fully and answer honestly. You may only complete this HIT once. If you complete this HIT multiple times, you will be rejected.</p><p style = ""font-size:16px;"">This HIT is part of a MIT scientific research project. Your decision to complete this HIT is voluntary. There is no way for us to identify you. The only information we will have, in addition to your responses, is the time at which you completed the survey. The results of the research may be presented at scientific meetings or published in scientific journals. Pressing the ""Y"" key indicates that you are at least 18 years of age, and agree to complete this HIT voluntarily. Press the ""Y"" key to confirm your agreement and continue.</p></div>",y,"""","""","""","""",2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",survey-text,3,53072,0.0-3.0,rhhm6gcs8,46072,"""","{""instructions1"":""collect water""}",instructions,"""","""","""",2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",survey-text,4,104308,0.0-4.0,rhhm6gcs8,51224,"""","{""instructions2"":""1""}",instructions,"""","""","""",2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",survey-text,5,228112,0.0-5.0,rhhm6gcs8,123797,"""","{""instructions4"":""Everyone feeling at liberty to leave and how that will affect everyone""}",instructions,"""","""","""",2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",video-slider-response,6,269347,0.0-6.0,rhhm6gcs8,41228,"[""video/maybe_line_new_5_1cut.mp4""]",-40,maybe_1,null,0,video/maybe_line_new_5_1cut.mp4,2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",video-slider-response,7,282264,0.0-7.0,rhhm6gcs8,12911,"[""video/yes_line_7_1cut.mp4""]",0,yes_1,null,0,video/yes_line_7_1cut.mp4,2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",video-slider-response,8,291957,0.0-8.0,rhhm6gcs8,9690,"[""video/yes_line_9_1cut.mp4""]",-21,yes_1,null,0,video/yes_line_9_1cut.mp4,2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",video-slider-response,9,301458,0.0-9.0,rhhm6gcs8,9493,"[""video/no_line_2_1cut.mp4""]",0,no_1,null,0,video/no_line_2_1cut.mp4,2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",video-slider-response,10,311398,0.0-10.0,rhhm6gcs8,9935,"[""video/maybe_line_new_6_1cut.mp4""]",0,maybe_1,null,0,video/maybe_line_new_6_1cut.mp4,2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",video-slider-response,11,320245,0.0-11.0,rhhm6gcs8,8840,"[""video/yes_line_10_1cut.mp4""]",-26,yes_1,null,0,video/yes_line_10_1cut.mp4,2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",video-slider-response,12,333497,0.0-12.0,rhhm6gcs8,13248,"[""video/no_line_3_1cut.mp4""]",-25,no_1,null,0,video/no_line_3_1cut.mp4,2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
