run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,ID,rt,stimulus,response,trial_category,stimulus_name,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
18,1,"""","""","""","""","""",survey-text,4,263006,0.0-4.0,6k95upfm1,69535,"""","{""instructions2"":""When all eight people collect water and store it in the wooden storage bucket.""}",instructions,"""",2022-01-29 00:54:31,71.71.214.155,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",WebKit,Edge,97.0.1072.69,Windows,10.0,667187245be6ec34b92381730ecb5f9e
18,1,"""","""","""","""","""",survey-text,5,324742,0.0-5.0,6k95upfm1,61732,"""","{""instructions3"":""Whether to wait in line or to leave it and head directly for the water source no matter where they were in the line.""}",instructions,"""",2022-01-29 00:54:31,71.71.214.155,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",WebKit,Edge,97.0.1072.69,Windows,10.0,667187245be6ec34b92381730ecb5f9e
18,1,"""","""","""","""","""",survey-text,6,383969,0.0-6.0,6k95upfm1,59224,"""","{""instructions4"":""That person has the freedom of choice between staying in line or leaving it during the game, unlike the rest who have to choose before the game and cannot change their mind once the game starts.""}",instructions,"""",2022-01-29 00:54:31,71.71.214.155,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",WebKit,Edge,97.0.1072.69,Windows,10.0,667187245be6ec34b92381730ecb5f9e
18,1,"""","""","""","""","""",video-button-response,7,416395,0.0-7.0,6k95upfm1,32423,"[""video/yes_line_7_0cut.mp4""]",1,yes_0,video/yes_line_7_0cut.mp4,2022-01-29 00:54:31,71.71.214.155,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",WebKit,Edge,97.0.1072.69,Windows,10.0,667187245be6ec34b92381730ecb5f9e
18,1,"""","""","""","""","""",video-button-response,8,446690,0.0-8.0,6k95upfm1,30294,"[""video/yes_line_7_1cut.mp4""]",0,yes_1,video/yes_line_7_1cut.mp4,2022-01-29 00:54:31,71.71.214.155,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",WebKit,Edge,97.0.1072.69,Windows,10.0,667187245be6ec34b92381730ecb5f9e
18,1,"""","""","""","""","""",video-button-response,9,478408,0.0-9.0,6k95upfm1,31714,"[""video/no_line_1_0cut.mp4""]",1,no_0,video/no_line_1_0cut.mp4,2022-01-29 00:54:31,71.71.214.155,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",WebKit,Edge,97.0.1072.69,Windows,10.0,667187245be6ec34b92381730ecb5f9e
18,1,"""","""","""","""","""",video-button-response,10,508416,0.0-10.0,6k95upfm1,30006,"[""video/no_line_1_1cut.mp4""]",1,no_1,video/no_line_1_1cut.mp4,2022-01-29 00:54:31,71.71.214.155,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",WebKit,Edge,97.0.1072.69,Windows,10.0,667187245be6ec34b92381730ecb5f9e
18,1,"""","""","""","""","""",survey-html-form,11,522396,0.0-11.0,6k95upfm1,13978,"""","[{""name"":""understand"",""value"":""yes""},{""name"":""problems"",""value"":""No problems are bugs.""},{""name"":""age"",""value"":""36""},{""name"":""gender"",""value"":""male""},{""name"":""comments"",""value"":""}]",debrief,"""",2022-01-29 00:54:31,71.71.214.155,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",WebKit,Edge,97.0.1072.69,Windows,10.0,667187245be6ec34b92381730ecb5f9e
18,1,"""","""","""","""","""",survey-text,12,531263,0.0-12.0,6k95upfm1,8860,"""","{""Q0"":""6k95upfm1""}","""","""",2022-01-29 00:54:31,71.71.214.155,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",WebKit,Edge,97.0.1072.69,Windows,10.0,667187245be6ec34b92381730ecb5f9e
2,1,true,false,[],[],[],preload,0,3190,0.0-0.0,tmc4xgmf3,"""","""","""","""","""",2022-01-29 00:46:03,174.67.203.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.54 Safari/537.36 Edg/93.0.961.38",WebKit,Edge,93.0.961.38,Windows,10.0,667187245be6ec34b92381730ecb5f9e
2,1,"""","""","""","""","""",html-keyboard-response,1,9717,0.0-1.0,tmc4xgmf3,6523,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 10 minutes to complete. Please complete it in one sitting.</p>", ,"""","""",2022-01-29 00:46:03,174.67.203.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.54 Safari/537.36 Edg/93.0.961.38",WebKit,Edge,93.0.961.38,Windows,10.0,667187245be6ec34b92381730ecb5f9e
2,1,"""","""","""","""","""",html-keyboard-response,2,11759,0.0-2.0,tmc4xgmf3,2041,"<p style = ""font-size:16px;"">MIT Computational Cognitive Science Lab</p><h4>Press the 'y' key to consent.</h4><div style = ""background-color:#f2f2f2;""><h3>Informed Consent Form</h3><div style=""text-align:left;width:700px;""><p style = ""font-size:16px;"">In this HIT, you will be asked to read a set of instructions that describe a particular scenario, and you will then be asked to perform a simple task relating to that scenario. There will also be comprehension and attention checks. Participants who do not answer these checks correctly cannot be approved. In order to get credit for this HIT, you must read all the questions fully and answer honestly. You may only complete this HIT once. If you complete this HIT multiple times, you will be rejected.</p><p style = ""font-size:16px;"">This HIT is part of a MIT scientific research project. Your decision to complete this HIT is voluntary. There is no way for us to identify you. The only information we will have, in addition to your responses, is the time at which you completed the survey. The results of the research may be presented at scientific meetings or published in scientific journals. Pressing the ""Y"" key indicates that you are at least 18 years of age, and agree to complete this HIT voluntarily. Press the ""Y"" key to confirm your agreement and continue.</p></div>",y,"""","""",2022-01-29 00:46:03,174.67.203.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.54 Safari/537.36 Edg/93.0.961.38",WebKit,Edge,93.0.961.38,Windows,10.0,667187245be6ec34b92381730ecb5f9e
2,1,"""","""","""","""","""",survey-text,3,42963,0.0-3.0,tmc4xgmf3,31196,"""","{""instructions1"":""Collect water from a water source and bring it back to the wooden storage buckets.""}",instructions,"""",2022-01-29 00:46:03,174.67.203.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.54 Safari/537.36 Edg/93.0.961.38",WebKit,Edge,93.0.961.38,Windows,10.0,667187245be6ec34b92381730ecb5f9e
2,1,"""","""","""","""","""",survey-text,4,59139,0.0-4.0,tmc4xgmf3,16167,"""","{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}",instructions,"""",2022-01-29 00:46:03,174.67.203.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.54 Safari/537.36 Edg/93.0.961.38",WebKit,Edge,93.0.961.38,Windows,10.0,667187245be6ec34b92381730ecb5f9e
2,1,"""","""","""","""","""",survey-text,5,102408,0.0-5.0,tmc4xgmf3,43264,"""","{""instructions3"":""Decide whether they will definitely stay in line or take opportunities to leave the line and head directly for the water source.""}",instructions,"""",2022-01-29 00:46:03,174.67.203.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.54 Safari/537.36 Edg/93.0.961.38",WebKit,Edge,93.0.961.38,Windows,10.0,667187245be6ec34b92381730ecb5f9e
2,1,"""","""","""","""","""",survey-text,6,127632,0.0-6.0,tmc4xgmf3,25222,"""","{""instructions4"":""They didn’t have to decide their strategy ahead of time.""}",instructions,"""",2022-01-29 00:46:03,174.67.203.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.54 Safari/537.36 Edg/93.0.961.38",WebKit,Edge,93.0.961.38,Windows,10.0,667187245be6ec34b92381730ecb5f9e
